1.000000e-01	4.861526e+04
1.500000e-01	4.343873e+04
2.000000e-01	3.826219e+04
3.000000e-01	3.153451e+04
4.000000e-01	2.480682e+04
5.000000e-01	2.143916e+04
6.000000e-01	1.807150e+04
7.000000e-01	1.577584e+04
1.000000e+00	9.243470e+03
1.500000e+00	7.502599e+03
2.000000e+00	5.761727e+03
3.000000e+00	5.190151e+03
4.000000e+00	4.618575e+03
5.000000e+00	4.468118e+03
6.000000e+00	4.317661e+03
7.000000e+00	4.069003e+03
1.000000e+01	2.887874e+03
1.500000e+01	2.047467e+03
2.000000e+01	1.216735e+03
3.000000e+01	6.257504e+02
4.000000e+01	4.893286e+02
5.000000e+01	3.529069e+02
6.000000e+01	2.379846e+02
7.000000e+01	2.155492e+02
1.000000e+02	1.346209e+02
1.500000e+02	8.585763e+01
2.000000e+02	4.389480e+01
3.000000e+02	2.017623e+01
4.000000e+02	3.265187e+00
7.000000e+02	2.489945e-01
1.200000e+03	7.651182e-03
2.000000e+03	0.000000e+00
